kind,code,class_name,prof,room1,room2,date1,date2,start,end,kwan
교필,AK00183,전공진로세미나(소프트웨어융합4반),김덕봉,M406,,금,,13:00,13:50,미가엘관
교필,AK00184,자유전공팀세미나(자유전공1반),김기명,7107,,금,,13:00,13:50,새천년관
교필,AK00184,자유전공팀세미나(자유전공2반),이현아,3401,,금,,13:00,13:50,월당관
교필,AK00184,자유전공팀세미나(자유전공3반),윤명호,3301,,금,,14:00,14:50,월당관
교필,AK00184,자유전공팀세미나(자유전공4반),이해청,M406,,금,,14:00,14:50,미가엘관
교필,AK00184,자유전공팀세미나(자유전공5반),김기명,7107,,금,,14:00,14:50,새천년관
교필,AK00184,자유전공팀세미나(자유전공6반),이현아,3401,,금,,14:00,14:50,월당관
교필,AC00003,사회봉사Ⅰ,손다진,M301,,화,,10:00,11:50,미가엘관
교필,AC00003,사회봉사Ⅰ,손다진,M301,,목,,10:00,11:50,미가엘관
교필,AE00046,해외봉사,최준기,7202,,수,,18:00,19:50,새천년관
교선,AF00008,과학기술과사회,김병수,7208,,목,,09:00,11:50,새천년관
교선,AF00048,생활속의물리학,김강배,M402,,금,,15:00,17:50,미가엘관
교선,AF00050,천문학의세계,이성환,3501,,화,,09:00,11:50,월당관
교선,AK00011,확률과통계,윤명호,3301,,수,,12:00,14:50,월당관
교선,AK00012,근대과학의풍경,김명진,3501,,화,,12:00,14:50,월당관
교선,AK00111,BigDataTheoryandPractice,김양희,M402,,금,,12:00,14:50,미가엘관
교선,AK00178,인공지능과사람,장여경,7208,,월,,15:00,17:50,새천년관
교선,AE00039,협동조합과대안사회,강진희,7307,,화,,15:00,17:50,새천년관
교선,AK00087,기업가정신CEO특강,이종인,7207,,수,,15:00,17:50,새천년관
교선,AK00090,콘텐츠세계로미래로,전현택,M301,,화,,12:00,14:50,미가엘관
교선,AK00099,디지털콘텐츠해외사례분석,전현택,M301,,수,,12:00,14:50,미가엘관
교선,AK00101,한국경제알아보기,이상철,M205,,화,,12:00,14:50,미가엘관
교선,AK00194,대학생을위한노동법,김건우,3401,,월,,12:00,14:50,월당관
교선,AF00037,자연과생명,김추령,3401,,화,,12:00,14:50,월당관
